data,1-5,comentario
15/04/2026,5,"Na minha opiniao, simplesmente irresistivel, cremoso e na medida certa de doce."
15/04/2026,5,"Olha, sabor de infancia que continua o mesmo, parabens Nescau! Vale muito a pena."
16/04/2026,1,"Na minha opiniao, prefiro qualquer concorrente, esse novo Nescau ficou intomavel."
16/04/2026,5,"Achocolatado nota 10, meus filhos amam e eu tambem. Fica a dica."
17/04/2026,3,"Sabor ok, nada de especial, esperava mais do novo Nescau Protein."
17/04/2026,3,"Cereal razoavel, imaginei que teria gosto de cookie mas nao tem."
17/04/2026,4,"Na minha opiniao, sabor muito bom, o Nescau Protein cumpre o que promete, so o preco que pesa. Fica a dica."
18/04/2026,5,"Nescau na medida certa de doce, diferente da concorrencia que enjoa. Fica a dica."
18/04/2026,4,"Olha, adoro o Nescau, cremoso e gostoso, faltou apenas achar mais facil no mercado. Fica a dica."
18/04/2026,2,"Confesso que muito acucar e pouco cacau, enjoa rapido, nao recomendo."
18/04/2026,1,"Olha, nao e mais o Nescau que eu conhecia, qualidade despencou."
19/04/2026,4,"Gostei bastante do Protein, sabor agradavel, so um pouco caro pelo tamanho. Recomendo!"
19/04/2026,5,"Verdade seja dita, nescau sempre inovando, esse lancamento ficou sensacional. So elogios."
19/04/2026,4,"Na minha opiniao, muito bom, uso todo dia, so reduziria um pouquinho o acucar."
19/04/2026,1,"Nao e mais o Nescau que eu conhecia, qualidade despencou. Nao recomendo."
19/04/2026,5,"Pra mim, sabor de infancia que continua o mesmo, parabens Nescau! So elogios."
20/04/2026,4,"Confesso que muito saboroso, meus filhos amam, so o preco que subiu bastante. Fica a dica."
22/04/2026,3,"Ok, porem achei bem docinho e um pouco artificial no fim."
23/04/2026,3,"Comum, cumpre o basico, mas ja foi melhor no passado. Da pra melhorar."
23/04/2026,4,"Na minha opiniao, gosto muito do Nescau, so acho que poderia ser um pouco menos doce. Recomendo demais."
24/04/2026,5,"Na minha opiniao, o cereal e maravilhoso, textura crocante e o gosto do Nescau de sempre."
24/04/2026,4,"Sinceramente, otimo achocolatado, o cereal e bom mas queria mais quantidade na caixa. Vale muito a pena."
24/04/2026,5,"O cereal e maravilhoso, textura crocante e o gosto do Nescau de sempre. So elogios."
25/04/2026,3,"Nem otimo nem ruim, e um achocolatado padrao, sem surpresas."
25/04/2026,4,"Confesso que achocolatado gostoso e cremoso, recomendo, so a embalagem poderia render mais. Recomendo demais."
26/04/2026,4,"Confesso que bom demais com leite gelado, so acho o preco um pouco salgado ultimamente. Vale muito a pena."
27/04/2026,4,"Sinceramente, otimo achocolatado, o cereal e bom mas queria mais quantidade na caixa. Recomendo demais."
27/04/2026,3,"Pra mim, nem otimo nem ruim, e um achocolatado padrao, sem surpresas. So um feedback."
27/04/2026,1,"Gente, pior versao ja lancada, mudaram tudo e estragaram o Nescau. Nao compro mais."
27/04/2026,3,"Na minha opiniao, e bom, mas achei bem doce, acucar demais pro meu gosto."
27/04/2026,5,"Nescau na medida certa de doce, diferente da concorrencia que enjoa. Vale muito a pena."
27/04/2026,5,"Confesso que nescau na medida certa de doce, diferente da concorrencia que enjoa."
27/04/2026,3,"Sinceramente, mediano, gostei do sabor mas nao achei nada demais no lancamento. Da pra melhorar."
28/04/2026,5,"Sinceramente, simplesmente irresistivel, cremoso e na medida certa de doce. Recomendo demais."
28/04/2026,5,"Olha, nescau sempre inovando, esse lancamento ficou sensacional. So elogios."
28/04/2026,5,"Pra mim, achocolatado nota 10, meus filhos amam e eu tambem. Recomendo demais."
29/04/2026,3,"Na minha opiniao, continua bom, mas sinto que mudaram a formula e nao ficou igual."
29/04/2026,4,"Gosto muito do Nescau, so acho que poderia ser um pouco menos doce. Recomendo!"
29/04/2026,2,"Sinceramente, preco alto e quantidade pequena, nao compensa mais comprar. Nao recomendo."
29/04/2026,2,"O sabor intenso sumiu depois das mudancas, decepcionante."
29/04/2026,3,"Sinceramente, ta bom, so acho que poderiam caprichar mais no sabor do cereal. No mais, e isso."
29/04/2026,1,"Sinceramente, horrivel, so acucar, nao sinto gosto de chocolate nenhum. Precisa melhorar."
30/04/2026,3,"Olha, cereal razoavel, imaginei que teria gosto de cookie mas nao tem. Fica a dica."
30/04/2026,5,"Olha, perfeito para bater com leite gelado, fica cremoso e delicioso."
30/04/2026,5,"Nescau na medida certa de doce, diferente da concorrencia que enjoa."
01/05/2026,3,"Sinceramente, razoavel, o Protein e interessante mas caro pelo que entrega. Fica a dica."
01/05/2026,3,"Continua bom, mas sinto que mudaram a formula e nao ficou igual."
01/05/2026,5,"Gente, perfeito para bater com leite gelado, fica cremoso e delicioso. So elogios."
01/05/2026,1,"Horrivel, so acucar, nao sinto gosto de chocolate nenhum."
01/05/2026,3,"Serve pro dia a dia, porem doce demais e enjoa depois de um tempo."
02/05/2026,2,"Nescau protein promete muito mas parece contar a proteina do leite, propaganda enganosa."
02/05/2026,1,"Confesso que acabaram com o produto nas modificacoes, o sabor intenso simplesmente sumiu."
02/05/2026,4,"Na minha opiniao, gosto do cereal, crocante e saboroso, mas some rapido da prateleira. So elogios."
02/05/2026,1,"Prefiro qualquer concorrente, esse novo Nescau ficou intomavel. Decepcionante."
03/05/2026,5,"Na minha opiniao, nescau Protein me salvou, finalmente um achocolatado com proteina que e gostoso. So elogios."
03/05/2026,4,"Gente, achocolatado gostoso e cremoso, recomendo, so a embalagem poderia render mais. Recomendo!"
04/05/2026,2,"Confesso que achei muito doce, so sinto gosto de acucar, quase nao tomo mais. Fica o alerta."
04/05/2026,4,"Gente, curti bastante, sabor classico do Nescau, so um tico doce demais pra mim. So elogios."
05/05/2026,4,"Muito saboroso, meus filhos amam, so o preco que subiu bastante."
05/05/2026,2,"Gente, muito acucar e pouco cacau, enjoa rapido, nao recomendo. Fica o alerta."
05/05/2026,2,"Comprei o liquido e o gosto estava estranho, quase de ferro."
06/05/2026,4,"Olha, sabor muito bom, o Nescau Protein cumpre o que promete, so o preco que pesa. So elogios."
06/05/2026,3,"Gente, comum, cumpre o basico, mas ja foi melhor no passado."
07/05/2026,3,"Olha, nescau protein e ok, mas a proteina parece contar a do leite tambem."
07/05/2026,2,"Nescau protein promete muito mas parece contar a proteina do leite, propaganda enganosa. Decepcionante."
08/05/2026,5,"Confesso que o cereal e maravilhoso, textura crocante e o gosto do Nescau de sempre. Recomendo!"
08/05/2026,2,"O sabor mudou pra pior, virou muito artificial na minha opiniao."
09/05/2026,3,"Olha, gosto, mas o preco esta caro demais pra quantidade que vem. Fica a dica."
09/05/2026,1,"Sinceramente, horrivel, so acucar, nao sinto gosto de chocolate nenhum. Decepcionante."
10/05/2026,5,"Verdade seja dita, o cereal do Nescau e viciante, ponto certo de acucar e nada enjoativo."
10/05/2026,1,"Nao e mais o Nescau que eu conhecia, qualidade despencou."
10/05/2026,4,"Pra mim, nescau Protein bom para o pos treino, sabor agrada, textura poderia ser melhor. Fica a dica."
11/05/2026,5,"Confesso que sabor de infancia que continua o mesmo, parabens Nescau! Vale muito a pena."
11/05/2026,2,"Gente, o sabor intenso sumiu depois das mudancas, decepcionante. Nao recomendo."
11/05/2026,1,"Horrivel, so acucar, nao sinto gosto de chocolate nenhum. Precisa melhorar."
12/05/2026,5,"Viciei no Nescau Protein, sabor otimo e ainda ajuda na dieta. Vale muito a pena."
12/05/2026,4,"Gente, otimo achocolatado, o cereal e bom mas queria mais quantidade na caixa."
13/05/2026,1,"Olha, acabaram com o produto nas modificacoes, o sabor intenso simplesmente sumiu."
13/05/2026,5,"Confesso que nao troco por nenhum outro, Nescau e energia pura no meu dia."
13/05/2026,2,"Nao encontrei o mesmo sabor de antes, ficou aguado e sem graca. Decepcionante."
14/05/2026,5,"Sabor de infancia que continua o mesmo, parabens Nescau! Recomendo demais."
14/05/2026,4,"Otimo achocolatado, o cereal e bom mas queria mais quantidade na caixa. So elogios."
14/05/2026,4,"Confesso que gostei bastante do Protein, sabor agradavel, so um pouco caro pelo tamanho."
14/05/2026,5,"Simplesmente irresistivel, cremoso e na medida certa de doce. Recomendo!"
15/05/2026,5,"Nao troco por nenhum outro, Nescau e energia pura no meu dia."
15/05/2026,5,"Verdade seja dita, nescau na medida certa de doce, diferente da concorrencia que enjoa. Fica a dica."
16/05/2026,2,"Verdade seja dita, protein caro e o gosto nao agrada, nao vale o investimento."
17/05/2026,5,"Na minha opiniao, achocolatado nota 10, meus filhos amam e eu tambem. Vale muito a pena."
17/05/2026,1,"Na minha opiniao, prefiro qualquer concorrente, esse novo Nescau ficou intomavel. Decepcionante."
17/05/2026,4,"Pra mim, gosto do cereal, crocante e saboroso, mas some rapido da prateleira. Recomendo!"
18/05/2026,5,"Melhor achocolatado que existe, Nescau nao tem igual! Vale muito a pena."
19/05/2026,3,"Sinceramente, razoavel, o Protein e interessante mas caro pelo que entrega. No mais, e isso."
19/05/2026,4,"Gostei bastante do Protein, sabor agradavel, so um pouco caro pelo tamanho. Vale muito a pena."
19/05/2026,5,"Sabor de infancia que continua o mesmo, parabens Nescau! Vale muito a pena."
19/05/2026,5,"Sinceramente, achocolatado nota 10, meus filhos amam e eu tambem. Recomendo!"
19/05/2026,1,"Verdade seja dita, acabaram com o produto nas modificacoes, o sabor intenso simplesmente sumiu."
20/05/2026,3,"Sinceramente, serve pro dia a dia, porem doce demais e enjoa depois de um tempo."
20/05/2026,4,"Pra mim, o sabor continua otimo, so senti que mudou um pouco na nova formula. Fica a dica."
20/05/2026,1,"Gente, sabor artificial e docissimo, nao consigo tomar, decepcao total. Precisa melhorar."
20/05/2026,5,"Sinceramente, cresci tomando Nescau e ate hoje e o meu preferido, sabor perfeito."
20/05/2026,2,"Confesso que mudaram a formula e estragaram o produto, nao e mais o mesmo."
20/05/2026,4,"Pra mim, adoro o Nescau, cremoso e gostoso, faltou apenas achar mais facil no mercado."
20/05/2026,5,"Verdade seja dita, cresci tomando Nescau e ate hoje e o meu preferido, sabor perfeito."
21/05/2026,3,"Gente, ta bom, so acho que poderiam caprichar mais no sabor do cereal."
21/05/2026,3,"Na minha opiniao, cereal razoavel, imaginei que teria gosto de cookie mas nao tem."
22/05/2026,4,"Curti bastante, sabor classico do Nescau, so um tico doce demais pra mim. Recomendo demais."
22/05/2026,5,"Pra mim, simplesmente irresistivel, cremoso e na medida certa de doce. Recomendo demais."
22/05/2026,4,"Verdade seja dita, nescau Protein bom para o pos treino, sabor agrada, textura poderia ser melhor. Recomendo demais."
23/05/2026,4,"Gente, bom demais com leite gelado, so acho o preco um pouco salgado ultimamente."
23/05/2026,3,"Sinceramente, ta bom, so acho que poderiam caprichar mais no sabor do cereal. So um feedback."
23/05/2026,3,"Confesso que comum, cumpre o basico, mas ja foi melhor no passado. Da pra melhorar."
24/05/2026,3,"Pra mim, e bom, mas achei bem doce, acucar demais pro meu gosto."
25/05/2026,5,"Pra mim, melhor achocolatado do Brasil, disparado. Cremosidade sem igual. Recomendo!"
26/05/2026,4,"Olha, muito bom, uso todo dia, so reduziria um pouquinho o acucar. Fica a dica."
26/05/2026,5,"Verdade seja dita, achocolatado nota 10, meus filhos amam e eu tambem. Fica a dica."
26/05/2026,4,"Sinceramente, muito saboroso, meus filhos amam, so o preco que subiu bastante. Fica a dica."
26/05/2026,5,"Confesso que melhor achocolatado do Brasil, disparado. Cremosidade sem igual. Fica a dica."
26/05/2026,5,"Confesso que nescau Protein me salvou, finalmente um achocolatado com proteina que e gostoso. Vale muito a pena."
27/05/2026,4,"Olha, achocolatado gostoso e cremoso, recomendo, so a embalagem poderia render mais. So elogios."
27/05/2026,5,"Olha, cresci tomando Nescau e ate hoje e o meu preferido, sabor perfeito."
27/05/2026,5,"Melhor achocolatado que existe, Nescau nao tem igual! Fica a dica."
28/05/2026,3,"Olha, ta bom, so acho que poderiam caprichar mais no sabor do cereal."
28/05/2026,4,"Verdade seja dita, otimo achocolatado, o cereal e bom mas queria mais quantidade na caixa."
28/05/2026,4,"Confesso que o sabor continua otimo, so senti que mudou um pouco na nova formula. Fica a dica."
29/05/2026,5,"Sinceramente, esse sabor e nostalgia pura, me lembra a minha infancia toda."
29/05/2026,4,"Na minha opiniao, o sabor continua otimo, so senti que mudou um pouco na nova formula."
29/05/2026,4,"Muito bom, uso todo dia, so reduziria um pouquinho o acucar. So elogios."
30/05/2026,3,"Verdade seja dita, cereal razoavel, imaginei que teria gosto de cookie mas nao tem. Da pra melhorar."
30/05/2026,4,"Confesso que gostei bastante do Protein, sabor agradavel, so um pouco caro pelo tamanho. Vale muito a pena."
01/06/2026,5,"Verdade seja dita, cresci tomando Nescau e ate hoje e o meu preferido, sabor perfeito. Recomendo!"
01/06/2026,5,"Confesso que o cereal do Nescau e viciante, ponto certo de acucar e nada enjoativo. Vale muito a pena."
01/06/2026,5,"Olha, simplesmente irresistivel, cremoso e na medida certa de doce. So elogios."
01/06/2026,3,"Pra mim, ta bom, so acho que poderiam caprichar mais no sabor do cereal."
01/06/2026,5,"Na minha opiniao, melhor achocolatado que existe, Nescau nao tem igual! So elogios."
01/06/2026,4,"Na minha opiniao, gostei bastante do Protein, sabor agradavel, so um pouco caro pelo tamanho. Recomendo demais."
02/06/2026,5,"Olha, achocolatado nota 10, meus filhos amam e eu tambem."
02/06/2026,2,"Pra mim, o sabor mudou pra pior, virou muito artificial na minha opiniao. Precisa melhorar."
03/06/2026,2,"Na minha opiniao, o cereal nao tem o gosto que anunciam, fiquei frustrado."
03/06/2026,5,"Gente, o cereal do Nescau e viciante, ponto certo de acucar e nada enjoativo."
03/06/2026,4,"Pra mim, curti bastante, sabor classico do Nescau, so um tico doce demais pra mim."
04/06/2026,4,"Produto de qualidade, so gostaria que voltasse o sabor intenso de antes. Fica a dica."
04/06/2026,5,"Nescau sempre inovando, esse lancamento ficou sensacional. So elogios."
05/06/2026,1,"Olha, muito caro e ruim, nunca mais compro, me arrependi. Precisa melhorar."
05/06/2026,5,"Melhor achocolatado que existe, Nescau nao tem igual! Recomendo!"
06/06/2026,2,"Nescau protein promete muito mas parece contar a proteina do leite, propaganda enganosa. Nao compro mais."
06/06/2026,3,"Confesso que ta bom, so acho que poderiam caprichar mais no sabor do cereal. So um feedback."
06/06/2026,5,"Pra mim, achocolatado nota 10, meus filhos amam e eu tambem. Vale muito a pena."
06/06/2026,1,"Olha, sabor artificial e docissimo, nao consigo tomar, decepcao total. Nao compro mais."
06/06/2026,5,"Verdade seja dita, viciei no Nescau Protein, sabor otimo e ainda ajuda na dieta. Vale muito a pena."
07/06/2026,5,"Pra mim, comprei o Nescau Protein e superou minhas expectativas, recomendo muito. Vale muito a pena."
07/06/2026,5,"Verdade seja dita, nescau Protein com 15g de proteina virou meu pos treino favorito."
08/06/2026,5,"Olha, nescau Protein com 15g de proteina virou meu pos treino favorito."
08/06/2026,1,"Confesso que propaganda enganosa, a proteina anunciada conta o leite, uma piada."
08/06/2026,5,"Pra mim, melhor achocolatado que existe, Nescau nao tem igual! Recomendo demais."
08/06/2026,1,"Gente, nao e mais o Nescau que eu conhecia, qualidade despencou."
10/06/2026,4,"Pra mim, produto bom, o cereal e saboroso, achei que teria mais gosto de cookie. Recomendo demais."
10/06/2026,4,"Curti bastante, sabor classico do Nescau, so um tico doce demais pra mim."
10/06/2026,4,"Na minha opiniao, produto de qualidade, so gostaria que voltasse o sabor intenso de antes."
10/06/2026,5,"Sinceramente, o cereal e maravilhoso, textura crocante e o gosto do Nescau de sempre. Recomendo demais."
11/06/2026,5,"Olha, esse sabor e nostalgia pura, me lembra a minha infancia toda. Recomendo!"
11/06/2026,3,"E bom, mas achei bem doce, acucar demais pro meu gosto. Fica a dica."
12/06/2026,2,"Na minha opiniao, o sabor intenso sumiu depois das mudancas, decepcionante. Nao recomendo."
12/06/2026,4,"Muito bom, uso todo dia, so reduziria um pouquinho o acucar. Recomendo demais."
13/06/2026,5,"Gente, esse sabor e nostalgia pura, me lembra a minha infancia toda. Fica a dica."
13/06/2026,5,"Simplesmente irresistivel, cremoso e na medida certa de doce."
13/06/2026,5,"Achocolatado nota 10, meus filhos amam e eu tambem."
14/06/2026,2,"Gente, vem cada vez menos produto na embalagem pelo mesmo preco, decepcionante. Nao recomendo."
14/06/2026,5,"Pra mim, nescau Protein com 15g de proteina virou meu pos treino favorito. Fica a dica."
14/06/2026,1,"Terrivel, o cereal estava sem sabor e mole, dinheiro jogado fora."
15/06/2026,5,"Sinceramente, o cereal do Nescau e viciante, ponto certo de acucar e nada enjoativo."
15/06/2026,5,"Cresci tomando Nescau e ate hoje e o meu preferido, sabor perfeito. So elogios."
